"ID","Title","Case ID","Comment","Defects","Plan","Status","Tested By"
"T97373263","The App does not crash on first launch","C33714590","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373264","The App does not crash on subsequent launches","C33714591","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373265","The App has the correct Icon and Name","C33714594","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373341","Home View's header displays the connected system's name","C34238481","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373374","Miniplayer displays correct play state","C34371039","Bypassed with minor bug PMA-18472: [Both] Histogram still shows in Miniplayer even when the TV source is paused

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373317","Miniplayer Playback and Output Selector buttons (non Home Theater)","C33838692","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373268","Miniplayer shows correct metadata, and attribution","C33717339","PMA-19081: [Android] [Airplay] Missing the Explicit badge on Miniplayer, System view and Output picker

Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a

","PMA-19081","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Failed","Trang Nguyen."
"T97373267","Miniplayer shows correct group names","C33717289","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373335","Miniplayer with player that have a long room name","C34234252","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
"T97373334","Miniplayer Volume controls and Mute - Single Player","C34234251","Samsung Galaxy A73 (Android 13)
CR: 80.20.4 - 2025 App 3 - beta (android)
Player: 89.0-63190-v17.0-2025_Player_3-Alpha-4a
","","2025 Sprint 6 - R3 MainlineAlpha - Special 2025 Player 3 Alpha 4 testing","Passed","Trang Nguyen."
