"ID","Title","Case ID","Comment","Defects","Plan","Status","Tested By"
"T97399098","The App does not crash on first launch","C33714590","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399099","The App does not crash on subsequent launches","C33714591","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399100","The App has the correct Icon and Name","C33714594","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399176","Home View's header displays the connected system's name","C34238481","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399209","Miniplayer displays correct play state","C34371039","Bypassed with minor bug PMA-18472: [Both] Histogram still shows in Miniplayer even when the TV source is paused

Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1

","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399152","Miniplayer Playback and Output Selector buttons (non Home Theater)","C33838692","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399103","Miniplayer shows correct metadata, and attribution","C33717339","PMA-19081: [Android] [Airplay] Missing the Explicit badge on Miniplayer, System view and Output picker

Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","PMA-19081","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Failed","Vu Nguyen"
"T97399102","Miniplayer shows correct group names","C33717289","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399170","Miniplayer with player that have a long room name","C34234252","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399169","Miniplayer Volume controls and Mute - Single Player","C34234251","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399431","Miniplayer Fixed Volume Control","C35018510","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399172","Play Progress indicator in Miniplayer","C34234255","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1
","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
"T97399398","Miniplayer battery icons","C34887456","Pixel 7 (Android 13)
CR: 80.20.18 - 2025 App 3 - beta (android)
Players: 
CEP25: 90.0-63312-v17.2-2025_Player_4-Alpha-1b
CEP20: 86.0-63290-v17.2-2025_Player_CEP20_1-Alpha-1","","2025 Sprint 7 - R4 MainlineAlpha - Regression Test Plan","Passed","Vu Nguyen"
