"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type"
"T97400969","The App does not crash on first launch","","C33714590","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1
","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","0 - Highest","","RC Regression Pass","Android - Phone","R134519","Tech Alpha - Basic Smoke Tests","0","List of test cases for a high-level smoke test pass, explicitly for Tech Alpha. With Passport being more full-featured and requiring more and different test cases down the line, these should be no longer used in their current state once past Tech Alpha","Passed","Vu Nguyen","4/4/2025 2:09 AM","Smoke Test"
"T97400970","The App does not crash on subsequent launches","","C33714591","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1
","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","0 - Highest","","RC Regression Pass","Android - Phone","R134519","Tech Alpha - Basic Smoke Tests","0","List of test cases for a high-level smoke test pass, explicitly for Tech Alpha. With Passport being more full-featured and requiring more and different test cases down the line, these should be no longer used in their current state once past Tech Alpha","Passed","Vu Nguyen","4/4/2025 2:09 AM","Smoke Test"
"T97400971","The App has the correct Icon and Name","","C33714594","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1
","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","0 - Highest","","RC Regression Pass","Android - Phone","R134519","Tech Alpha - Basic Smoke Tests","0","List of test cases for a high-level smoke test pass, explicitly for Tech Alpha. With Passport being more full-featured and requiring more and different test cases down the line, these should be no longer used in their current state once past Tech Alpha","Passed","Vu Nguyen","4/4/2025 2:09 AM","Smoke Test"
"T97401047","Home View's header displays the connected system's name","","C34238481","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1
","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","2 - Medium","PMA-4177, PMA-2806","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Passed","Vu Nguyen","4/4/2025 2:17 AM","Functional"
"T97401080","Miniplayer displays correct play state","","C34371039","Bypassed with minor bug PMA-18472: [Both] Histogram still shows in Miniplayer even when the TV source is paused

Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1

","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","1 - High","","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Passed","Vu Nguyen","4/4/2025 2:37 AM","Functional"
"T97401023","Miniplayer Playback and Output Selector buttons (non Home Theater)","","C33838692","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1
","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","0 - Highest","PMA-1336","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Passed","Vu Nguyen","4/4/2025 2:40 AM","Functional"
"T97400974","Miniplayer shows correct metadata, and attribution","","C33717339","PMA-19081: [Android] [Airplay] Missing the Explicit badge on Miniplayer, System view and Output picker

Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1
","PMA-19081","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","1 - High","PMA-84","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Failed","Vu Nguyen","4/4/2025 2:58 AM","Functional"
"T97400973","Miniplayer shows correct group names","","C33717289","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","2 - Medium","PMA-308","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Passed","Vu Nguyen","4/4/2025 3:02 AM","Functional"
"T97401041","Miniplayer with player that have a long room name","","C34234252","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","2 - Medium","PMA-2070","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Passed","Vu Nguyen","4/4/2025 3:04 AM","Functional"
"T97401040","Miniplayer Volume controls and Mute - Single Player","","C34234251","Device: Pixel 7 (Android 13)
CR: 80.18.24 - 2025 App 2 RC - release (android)
Players: 
84.1-63251-v16.7-2025_Player_2-SP-1 (2025 Player 2 SP)
84.1-63110-v16.7-2025_Player_2-GA-1","","","","","2025 Sprint 7 - R2.1 - RC Regression Test Plan","R134518","0 - Highest","PMA-2070","RC Regression Pass","Android - Phone","R134519","Miniplayer","1","","Passed","Vu Nguyen","4/4/2025 3:06 AM","Functional"
